Timestamp,Index,True,Pred,Match
2026-01-13 19:42:26,0,Karacadag,Karacadag,1
2026-01-13 19:42:28,1,Karacadag,Karacadag,1
2026-01-13 19:42:29,2,Jasmine,Arborio,0
2026-01-13 19:42:30,3,Basmati,Basmati,1
2026-01-13 19:42:32,4,Jasmine,Ipsala,0
2026-01-13 19:42:33,5,Jasmine,Ipsala,0
2026-01-13 19:42:34,6,Jasmine,Ipsala,0
2026-01-13 19:42:36,7,Basmati,Basmati,1
2026-01-13 19:42:37,8,Basmati,Ipsala,0
2026-01-13 19:42:38,9,Arborio,Ipsala,0
2026-01-13 19:42:40,10,Arborio,Arborio,1
2026-01-13 19:42:41,11,Karacadag,Karacadag,1
2026-01-13 19:42:42,12,Arborio,Arborio,1
2026-01-13 19:42:44,13,Ipsala,Ipsala,1
2026-01-13 19:42:45,14,Jasmine,Jasmine,1
2026-01-13 19:42:46,15,Karacadag,Karacadag,1
2026-01-13 19:42:47,16,Arborio,Arborio,1
2026-01-13 19:42:49,17,Arborio,Arborio,1
2026-01-13 19:42:50,18,Karacadag,Karacadag,1
2026-01-13 19:42:51,19,Jasmine,Ipsala,0
2026-01-13 19:42:53,20,Arborio,Ipsala,0
2026-01-13 19:42:54,21,Jasmine,Ipsala,0
2026-01-13 19:42:55,22,Ipsala,Ipsala,1
2026-01-13 19:42:57,23,Arborio,Ipsala,0
2026-01-13 19:42:58,24,Karacadag,Karacadag,1
2026-01-13 19:42:59,25,Arborio,Arborio,1
2026-01-13 19:43:01,26,Arborio,Arborio,1
2026-01-13 19:43:02,27,Karacadag,Karacadag,1
2026-01-13 19:43:03,28,Arborio,Arborio,1
2026-01-13 19:43:05,29,Karacadag,Karacadag,1
2026-01-13 19:43:06,30,Arborio,Arborio,1
2026-01-13 19:43:07,31,Ipsala,Ipsala,1
2026-01-13 19:43:08,32,Jasmine,Ipsala,0
2026-01-13 19:43:10,33,Basmati,Ipsala,0
2026-01-13 19:43:11,34,Ipsala,Ipsala,1
2026-01-13 19:43:12,35,Ipsala,Ipsala,1
2026-01-13 19:43:14,36,Ipsala,Ipsala,1
2026-01-13 19:43:15,37,Jasmine,Ipsala,0
2026-01-13 19:43:16,38,Karacadag,Karacadag,1
2026-01-13 19:43:18,39,Karacadag,Karacadag,1
2026-01-13 19:43:19,40,Karacadag,Karacadag,1
2026-01-13 19:43:20,41,Jasmine,Ipsala,0
2026-01-13 19:43:22,42,Ipsala,Ipsala,1
2026-01-13 19:43:23,43,Karacadag,Karacadag,1
2026-01-13 19:43:24,44,Karacadag,Karacadag,1
2026-01-13 19:43:26,45,Basmati,Basmati,1
2026-01-13 19:43:27,46,Basmati,Basmati,1
2026-01-13 19:43:28,47,Ipsala,Ipsala,1
2026-01-13 19:43:30,48,Arborio,Arborio,1
2026-01-13 19:43:31,49,Arborio,Ipsala,0
2026-01-13 19:43:32,50,Ipsala,Ipsala,1
2026-01-13 19:43:33,51,Jasmine,Ipsala,0
2026-01-13 19:43:35,52,Karacadag,Karacadag,1
2026-01-13 19:43:36,53,Arborio,Arborio,1
2026-01-13 19:43:37,54,Ipsala,Ipsala,1
2026-01-13 19:43:39,55,Arborio,Arborio,1
2026-01-13 19:43:40,56,Jasmine,Basmati,0
2026-01-13 19:43:41,57,Karacadag,Karacadag,1
2026-01-13 19:43:43,58,Ipsala,Ipsala,1
2026-01-13 19:43:44,59,Basmati,Basmati,1
2026-01-13 19:43:45,60,Karacadag,Karacadag,1
2026-01-13 19:43:47,61,Jasmine,Ipsala,0
2026-01-13 19:43:48,62,Basmati,Basmati,1
2026-01-13 19:43:49,63,Karacadag,Karacadag,1
2026-01-13 19:43:51,64,Karacadag,Karacadag,1
2026-01-13 19:43:52,65,Karacadag,Karacadag,1
2026-01-13 19:43:53,66,Ipsala,Ipsala,1
2026-01-13 19:43:54,67,Arborio,Ipsala,0
2026-01-13 19:43:56,68,Ipsala,Ipsala,1
2026-01-13 19:43:57,69,Ipsala,Ipsala,1
2026-01-13 19:43:58,70,Karacadag,Karacadag,1
2026-01-13 19:44:00,71,Jasmine,Ipsala,0
2026-01-13 19:44:01,72,Arborio,Arborio,1
2026-01-13 19:44:02,73,Arborio,Karacadag,0
2026-01-13 19:44:04,74,Jasmine,Ipsala,0
2026-01-13 19:44:05,75,Jasmine,Ipsala,0
2026-01-13 19:44:06,76,Ipsala,Ipsala,1
2026-01-13 19:44:08,77,Ipsala,Ipsala,1
2026-01-13 19:44:09,78,Basmati,Basmati,1
2026-01-13 19:44:10,79,Karacadag,Karacadag,1
2026-01-13 19:44:12,80,Ipsala,Ipsala,1
2026-01-13 19:44:13,81,Ipsala,Ipsala,1
2026-01-13 19:44:14,82,Basmati,Basmati,1
2026-01-13 19:44:16,83,Basmati,Basmati,1
2026-01-13 19:44:17,84,Basmati,Ipsala,0
2026-01-13 19:44:18,85,Ipsala,Ipsala,1
2026-01-13 19:44:19,86,Jasmine,Ipsala,0
2026-01-13 19:44:21,87,Basmati,Basmati,1
2026-01-13 19:44:22,88,Karacadag,Karacadag,1
2026-01-13 19:44:23,89,Karacadag,Karacadag,1
2026-01-13 19:44:25,90,Ipsala,Ipsala,1
2026-01-13 19:44:26,91,Jasmine,Ipsala,0
2026-01-13 19:44:27,92,Basmati,Basmati,1
2026-01-13 19:44:29,93,Arborio,Arborio,1
2026-01-13 19:44:30,94,Arborio,Ipsala,0
2026-01-13 19:44:31,95,Basmati,Ipsala,0
2026-01-13 19:44:33,96,Arborio,Arborio,1
2026-01-13 19:44:34,97,Arborio,Ipsala,0
2026-01-13 19:44:35,98,Ipsala,Ipsala,1
2026-01-13 19:44:37,99,Jasmine,Arborio,0
2026-01-13 19:44:38,100,Ipsala,Ipsala,1
2026-01-13 19:44:39,101,Jasmine,Ipsala,0
2026-01-13 19:44:40,102,Karacadag,Karacadag,1
2026-01-13 19:44:42,103,Ipsala,Ipsala,1
2026-01-13 19:44:43,104,Jasmine,Karacadag,0
2026-01-13 19:44:44,105,Karacadag,Karacadag,1
2026-01-13 19:44:46,106,Arborio,Ipsala,0
2026-01-13 19:44:47,107,Arborio,Ipsala,0
2026-01-13 19:44:48,108,Karacadag,Karacadag,1
2026-01-13 19:44:50,109,Karacadag,Karacadag,1
2026-01-13 19:44:51,110,Jasmine,Arborio,0
2026-01-13 19:44:52,111,Karacadag,Karacadag,1
2026-01-13 19:44:54,112,Ipsala,Ipsala,1
2026-01-13 19:44:55,113,Basmati,Basmati,1
2026-01-13 19:44:56,114,Ipsala,Ipsala,1
2026-01-13 19:44:58,115,Basmati,Basmati,1
2026-01-13 19:44:59,116,Jasmine,Ipsala,0
2026-01-13 19:45:00,117,Karacadag,Karacadag,1
2026-01-13 19:45:02,118,Jasmine,Arborio,0
2026-01-13 19:45:03,119,Arborio,Ipsala,0
2026-01-13 19:45:04,120,Arborio,Arborio,1
2026-01-13 19:45:05,121,Ipsala,Ipsala,1
2026-01-13 19:45:07,122,Basmati,Basmati,1
2026-01-13 19:45:08,123,Karacadag,Karacadag,1
2026-01-13 19:45:09,124,Basmati,Basmati,1
2026-01-13 19:45:11,125,Karacadag,Karacadag,1
2026-01-13 19:45:12,126,Basmati,Basmati,1
2026-01-13 19:45:13,127,Ipsala,Ipsala,1
2026-01-13 19:45:15,128,Jasmine,Ipsala,0
2026-01-13 19:45:16,129,Karacadag,Karacadag,1
2026-01-13 19:45:17,130,Arborio,Arborio,1
2026-01-13 19:45:19,131,Ipsala,Ipsala,1
2026-01-13 19:45:20,132,Karacadag,Karacadag,1
2026-01-13 19:45:21,133,Jasmine,Ipsala,0
2026-01-13 19:45:23,134,Ipsala,Ipsala,1
2026-01-13 19:45:24,135,Karacadag,Karacadag,1
2026-01-13 19:45:25,136,Ipsala,Ipsala,1
2026-01-13 19:45:26,137,Basmati,Basmati,1
2026-01-13 19:45:28,138,Karacadag,Karacadag,1
2026-01-13 19:45:29,139,Arborio,Ipsala,0
2026-01-13 19:45:30,140,Jasmine,Arborio,0
2026-01-13 19:45:32,141,Arborio,Ipsala,0
2026-01-13 19:45:33,142,Basmati,Basmati,1
2026-01-13 19:45:34,143,Ipsala,Ipsala,1
2026-01-13 19:45:36,144,Jasmine,Ipsala,0
2026-01-13 19:45:37,145,Jasmine,Arborio,0
2026-01-13 19:45:38,146,Ipsala,Ipsala,1
2026-01-13 19:45:40,147,Arborio,Arborio,1
2026-01-13 19:45:41,148,Jasmine,Arborio,0
2026-01-13 19:45:42,149,Ipsala,Ipsala,1
2026-01-13 19:45:44,150,Basmati,Basmati,1
2026-01-13 19:45:45,151,Karacadag,Ipsala,0
2026-01-13 19:45:46,152,Basmati,Basmati,1
2026-01-13 19:45:47,153,Ipsala,Ipsala,1
2026-01-13 19:45:49,154,Karacadag,Karacadag,1
2026-01-13 19:45:50,155,Jasmine,Basmati,0
2026-01-13 19:45:51,156,Ipsala,Ipsala,1
2026-01-13 19:45:53,157,Arborio,Ipsala,0
2026-01-13 19:45:54,158,Jasmine,Ipsala,0
2026-01-13 19:45:55,159,Basmati,Ipsala,0
2026-01-13 19:45:57,160,Arborio,Ipsala,0
2026-01-13 19:45:58,161,Karacadag,Karacadag,1
2026-01-13 19:45:59,162,Jasmine,Ipsala,0
2026-01-13 19:46:01,163,Jasmine,Karacadag,0
2026-01-13 19:46:02,164,Ipsala,Ipsala,1
2026-01-13 19:46:03,165,Karacadag,Arborio,0
2026-01-13 19:46:05,166,Jasmine,Arborio,0
2026-01-13 19:46:06,167,Jasmine,Ipsala,0
2026-01-13 19:46:07,168,Karacadag,Karacadag,1
2026-01-13 19:46:09,169,Karacadag,Karacadag,1
2026-01-13 19:46:10,170,Arborio,Arborio,1
2026-01-13 19:46:11,171,Basmati,Ipsala,0
2026-01-13 19:46:12,172,Basmati,Basmati,1
2026-01-13 19:46:14,173,Jasmine,Ipsala,0
2026-01-13 19:46:15,174,Basmati,Basmati,1
2026-01-13 19:46:16,175,Karacadag,Karacadag,1
2026-01-13 19:46:18,176,Ipsala,Ipsala,1
2026-01-13 19:46:19,177,Ipsala,Ipsala,1
2026-01-13 19:46:20,178,Basmati,Ipsala,0
2026-01-13 19:46:22,179,Ipsala,Ipsala,1
2026-01-13 19:46:23,180,Karacadag,Karacadag,1
2026-01-13 19:46:24,181,Ipsala,Ipsala,1
2026-01-13 19:46:26,182,Arborio,Ipsala,0
2026-01-13 19:46:27,183,Jasmine,Ipsala,0
2026-01-13 19:46:28,184,Ipsala,Ipsala,1
2026-01-13 19:46:30,185,Karacadag,Karacadag,1
2026-01-13 19:46:31,186,Ipsala,Ipsala,1
2026-01-13 19:46:32,187,Jasmine,Ipsala,0
2026-01-13 19:46:33,188,Arborio,Arborio,1
2026-01-13 19:46:35,189,Arborio,Arborio,1
2026-01-13 19:46:36,190,Ipsala,Ipsala,1
2026-01-13 19:46:37,191,Ipsala,Ipsala,1
2026-01-13 19:46:39,192,Jasmine,Ipsala,0
2026-01-13 19:46:40,193,Arborio,Arborio,1
2026-01-13 19:46:41,194,Jasmine,Ipsala,0
2026-01-13 19:46:43,195,Ipsala,Ipsala,1
2026-01-13 19:46:44,196,Ipsala,Ipsala,1
2026-01-13 19:46:45,197,Ipsala,Ipsala,1
2026-01-13 19:46:47,198,Jasmine,Ipsala,0
2026-01-13 19:46:48,199,Basmati,Basmati,1
2026-01-13 19:46:49,200,Ipsala,Ipsala,1
2026-01-13 19:46:51,201,Jasmine,Ipsala,0
2026-01-13 19:46:52,202,Basmati,Basmati,1
2026-01-13 19:46:53,203,Arborio,Arborio,1
2026-01-13 19:46:54,204,Arborio,Ipsala,0
2026-01-13 19:46:56,205,Jasmine,Ipsala,0
2026-01-13 19:46:57,206,Basmati,Ipsala,0
2026-01-13 19:46:58,207,Karacadag,Karacadag,1
2026-01-13 19:47:00,208,Jasmine,Ipsala,0
2026-01-13 19:47:01,209,Karacadag,Arborio,0
2026-01-13 19:47:02,210,Karacadag,Karacadag,1
2026-01-13 19:47:04,211,Arborio,Arborio,1
2026-01-13 19:47:05,212,Arborio,Karacadag,0
2026-01-13 19:47:06,213,Jasmine,Ipsala,0
2026-01-13 19:47:08,214,Arborio,Arborio,1
2026-01-13 19:47:09,215,Karacadag,Karacadag,1
2026-01-13 19:47:10,216,Ipsala,Ipsala,1
2026-01-13 19:47:12,217,Arborio,Ipsala,0
2026-01-13 19:47:13,218,Ipsala,Ipsala,1
2026-01-13 19:47:14,219,Ipsala,Ipsala,1
2026-01-13 19:47:16,220,Arborio,Ipsala,0
2026-01-13 19:47:17,221,Jasmine,Ipsala,0
2026-01-13 19:47:18,222,Arborio,Arborio,1
2026-01-13 19:47:19,223,Arborio,Arborio,1
2026-01-13 19:47:21,224,Karacadag,Karacadag,1
2026-01-13 19:47:22,225,Arborio,Arborio,1
2026-01-13 19:47:23,226,Karacadag,Karacadag,1
2026-01-13 19:47:25,227,Jasmine,Ipsala,0
2026-01-13 19:47:26,228,Arborio,Arborio,1
2026-01-13 19:47:27,229,Karacadag,Arborio,0
2026-01-13 19:47:29,230,Karacadag,Karacadag,1
2026-01-13 19:47:30,231,Ipsala,Ipsala,1
2026-01-13 19:47:31,232,Karacadag,Karacadag,1
2026-01-13 19:47:33,233,Ipsala,Ipsala,1
2026-01-13 19:47:34,234,Ipsala,Ipsala,1
2026-01-13 19:47:35,235,Jasmine,Arborio,0
2026-01-13 19:47:37,236,Karacadag,Karacadag,1
2026-01-13 19:47:38,237,Karacadag,Karacadag,1
2026-01-13 19:47:39,238,Ipsala,Ipsala,1
2026-01-13 19:47:40,239,Arborio,Arborio,1
2026-01-13 19:47:42,240,Karacadag,Karacadag,1
2026-01-13 19:47:43,241,Basmati,Ipsala,0
2026-01-13 19:47:44,242,Arborio,Arborio,1
2026-01-13 19:47:46,243,Ipsala,Ipsala,1
