Timestamp,Index,Actual,Predicted,Match
2026-01-11 00:47:45,0,0,0,1
2026-01-11 00:47:45,1,0,0,1
2026-01-11 00:47:45,2,1,1,1
2026-01-11 00:47:46,3,2,2,1
2026-01-11 00:47:46,4,3,3,1
2026-01-11 00:47:46,5,4,4,1
2026-01-11 00:47:46,6,7,7,1
2026-01-11 00:47:46,7,8,8,1
2026-01-11 00:47:46,8,9,9,1
2026-01-11 00:47:47,9,0,0,1
2026-01-11 00:47:47,10,1,1,1
2026-01-11 00:47:47,11,2,2,1
2026-01-11 00:47:47,12,3,3,1
2026-01-11 00:47:47,13,4,4,1
2026-01-11 00:47:47,14,5,5,1
2026-01-11 00:47:48,15,6,6,1
2026-01-11 00:47:48,16,7,7,1
2026-01-11 00:47:48,17,8,8,1
2026-01-11 00:47:48,18,0,0,1
2026-01-11 00:47:48,19,1,1,1
2026-01-11 00:47:49,20,2,2,1
2026-01-11 00:47:49,21,3,3,1
2026-01-11 00:47:49,22,4,4,1
2026-01-11 00:47:49,23,7,7,1
2026-01-11 00:47:49,24,8,8,1
2026-01-11 00:47:49,25,9,9,1
2026-01-11 00:47:50,26,0,0,1
2026-01-11 00:47:50,27,8,8,1
2026-01-11 00:47:50,28,3,3,1
2026-01-11 00:47:50,29,9,9,1
2026-01-11 00:47:50,30,5,5,1
2026-01-11 00:47:50,31,5,5,1
2026-01-11 00:47:51,32,2,2,1
2026-01-11 00:47:51,33,6,6,1
2026-01-11 00:47:51,34,8,8,1
2026-01-11 00:47:51,35,4,4,1
2026-01-11 00:47:51,36,1,1,1
2026-01-11 00:47:52,37,7,7,1
2026-01-11 00:47:52,38,1,1,1
2026-01-11 00:47:52,39,2,2,1
2026-01-11 00:47:52,40,3,3,1
2026-01-11 00:47:52,41,5,5,1
2026-01-11 00:47:52,42,6,6,1
2026-01-11 00:47:53,43,9,9,1
2026-01-11 00:47:53,44,1,1,1
2026-01-11 00:47:53,45,1,1,1
2026-01-11 00:47:53,46,1,1,1
2026-01-11 00:47:53,47,2,2,1
2026-01-11 00:47:54,48,1,1,1
2026-01-11 00:47:54,49,2,2,1
2026-01-11 00:47:54,50,0,0,1
2026-01-11 00:47:54,51,7,7,1
2026-01-11 00:47:54,52,7,7,1
2026-01-11 00:47:54,53,5,5,1
2026-01-11 00:47:55,54,8,8,1
2026-01-11 00:47:55,55,2,2,1
2026-01-11 00:47:55,56,9,9,1
2026-01-11 00:47:55,57,8,8,1
2026-01-11 00:47:55,58,6,6,1
2026-01-11 00:47:55,59,7,7,1
2026-01-11 00:47:56,60,3,3,1
2026-01-11 00:47:56,61,4,4,1
2026-01-11 00:47:56,62,6,6,1
2026-01-11 00:47:56,63,8,8,1
2026-01-11 00:47:56,64,7,7,1
2026-01-11 00:47:57,65,0,0,1
2026-01-11 00:47:57,66,4,4,1
2026-01-11 00:47:57,67,2,2,1
2026-01-11 00:47:57,68,7,7,1
2026-01-11 00:47:57,69,7,7,1
2026-01-11 00:47:57,70,5,5,1
2026-01-11 00:47:58,71,4,4,1
2026-01-11 00:47:58,72,3,3,1
2026-01-11 00:47:58,73,4,4,1
2026-01-11 00:47:58,74,2,2,1
2026-01-11 00:47:58,75,8,8,1
2026-01-11 00:47:58,76,1,1,1
2026-01-11 00:47:59,77,5,5,1
2026-01-11 00:47:59,78,1,1,1
2026-01-11 00:47:59,79,0,0,1
2026-01-11 00:47:59,80,2,2,1
2026-01-11 00:47:59,81,3,3,1
2026-01-11 00:48:00,82,3,3,1
2026-01-11 00:48:00,83,5,5,1
2026-01-11 00:48:00,84,7,7,1
2026-01-11 00:48:00,85,0,0,1
2026-01-11 00:48:00,86,6,6,1
2026-01-11 00:48:00,87,8,8,1
2026-01-11 00:48:01,88,6,6,1
2026-01-11 00:48:01,89,3,3,1
2026-01-11 00:48:01,90,9,9,1
2026-01-11 00:48:01,91,9,9,1
2026-01-11 00:48:01,92,8,8,1
2026-01-11 00:48:02,93,2,2,1
2026-01-11 00:48:02,94,7,7,1
2026-01-11 00:48:02,95,7,7,1
2026-01-11 00:48:02,96,1,1,1
2026-01-11 00:48:02,97,0,0,1
2026-01-11 00:48:02,98,1,1,1
2026-01-11 00:48:03,99,7,7,1
2026-01-11 00:48:03,100,8,8,1
2026-01-11 00:48:03,101,9,9,1
2026-01-11 00:48:03,102,0,0,1
2026-01-11 00:48:03,103,1,1,1
2026-01-11 00:48:03,104,2,2,1
2026-01-11 00:48:04,105,3,3,1
2026-01-11 00:48:04,106,4,4,1
2026-01-11 00:48:04,107,5,5,1
2026-01-11 00:48:04,108,6,6,1
2026-01-11 00:48:04,109,7,7,1
2026-01-11 00:48:05,110,8,8,1
2026-01-11 00:48:05,111,0,0,1
2026-01-11 00:48:05,112,1,1,1
2026-01-11 00:48:05,113,2,2,1
2026-01-11 00:48:05,114,3,3,1
2026-01-11 00:48:05,115,4,4,1
2026-01-11 00:48:06,116,7,7,1
2026-01-11 00:48:06,117,8,8,1
2026-01-11 00:48:06,118,9,9,1
2026-01-11 00:48:06,119,7,7,1
2026-01-11 00:48:06,120,8,8,1
2026-01-11 00:48:06,121,6,6,1
